Macro_Factor,FF_Factor,Beta,T_Stat
US_Growth_Factor,Mkt-RF,0.14461278744462613,0.7231278962652278
US_Growth_Factor,SMB,0.04596461872549901,0.29485793758750195
US_Growth_Factor,HML,-0.010944671240504217,-0.0581164594384956
US_Growth_Factor,RMW,-0.1352435998888314,-1.1322330835224872
US_Growth_Factor,CMA,0.07162262217720648,0.5924974130804235
Global_Growth_Factor,Mkt-RF,0.36859958559213646,1.6986948122408447
Global_Growth_Factor,SMB,-0.21733871273594416,-1.2849266935192087
Global_Growth_Factor,HML,-0.38949296430695557,-1.9061108099497721
Global_Growth_Factor,RMW,-0.13547528210173349,-1.0452767293275609
Global_Growth_Factor,CMA,-0.05766091651257145,-0.4396123476150467
Inflation_Factor,Mkt-RF,-0.28585847365189127,-1.5037206484303964
Inflation_Factor,SMB,-0.1665144936970593,-1.1236961092075846
Inflation_Factor,HML,0.13588999438637694,0.7590870508634613
Inflation_Factor,RMW,0.1511102131935085,1.3308239598975344
Inflation_Factor,CMA,0.08964482309372256,0.7801338647034806
Rates_Yields_Factor,Mkt-RF,-0.17350035265611086,-1.1209169522931768
Rates_Yields_Factor,SMB,-0.09410203320316661,-0.7799249712045062
Rates_Yields_Factor,HML,0.2059265682928365,1.412776515290634
Rates_Yields_Factor,RMW,-0.04409233627695815,-0.47692148380719074
Rates_Yields_Factor,CMA,0.09893059105549695,1.0573810000402837
US_Monetary_Policy_Factor,Mkt-RF,0.5035838241142302,2.0502644142994835
US_Monetary_Policy_Factor,SMB,0.11400708487017427,0.5954573859081416
US_Monetary_Policy_Factor,HML,0.2718812138445695,1.1754531171481284
US_Monetary_Policy_Factor,RMW,0.018197152316125644,0.12403727962656953
US_Monetary_Policy_Factor,CMA,0.10493884972622541,0.7068092508543582
Global_Monetary_Policy_Factor,Mkt-RF,-0.0996185489589861,-0.4611971146821388
Global_Monetary_Policy_Factor,SMB,0.18794578840606574,1.1162454751221964
Global_Monetary_Policy_Factor,HML,-0.1291628310171023,-0.6349973821746914
Global_Monetary_Policy_Factor,RMW,0.11791809875620719,0.913981780326942
Global_Monetary_Policy_Factor,CMA,-0.1348582092865795,-1.0328840758042996
Currency_Factor,Mkt-RF,-1.2839220914512066,-9.047695004981222
Currency_Factor,SMB,-0.1935496650987877,-1.749735680447855
Currency_Factor,HML,-0.09675128164500964,-0.7240090867064614
Currency_Factor,RMW,0.08655295999512648,1.0211555581675429
Currency_Factor,CMA,0.01090375606448361,0.12711688177803465
Credit_Risk_Factor,Mkt-RF,-1.1635328715967668,-5.320058262302089
Credit_Risk_Factor,SMB,0.1305410236176239,0.7657120613789171
Credit_Risk_Factor,HML,-0.12999086999232132,-0.6311587261010874
Credit_Risk_Factor,RMW,0.1181944344685891,0.9047851379937722
Credit_Risk_Factor,CMA,0.21055334112947935,1.5926769386412503
Commodities_Factor,Mkt-RF,0.6487184501795863,2.7937098133549156
Commodities_Factor,SMB,0.43208262961622623,2.387110889257095
Commodities_Factor,HML,0.6141937092715704,2.808784480419242
Commodities_Factor,RMW,-0.042215921162413926,-0.30437712716208093
Commodities_Factor,CMA,0.016982735614382728,0.12099307525380204
