Account,Ticker,Name,Investment_Type,Quantity,Total_Cost,Market_Value,Weight_Full,Weight_ExConcentrated
Demo Taxable (Joint),PLTR,Palantir Technologies Inc,Equity,9000,95000,420000,0.3756708407871199,0.0
Demo Taxable (Joint),AAPL,Apple Inc,Equity,300,42000,68000,0.06082289803220036,0.09742120343839542
Demo Taxable (Joint),MSFT,Microsoft Corp,Equity,150,38000,62000,0.055456171735241505,0.08882521489971347
Demo Taxable (Joint),JNJ,Johnson & Johnson,Equity,250,34000,37000,0.03309481216457961,0.05300859598853868
Demo Taxable (Joint),PG,Procter & Gamble Co,Equity,200,26000,32000,0.028622540250447227,0.045845272206303724
Demo Taxable (Joint),JPM,JPMorgan Chase & Co,Equity,180,27000,35000,0.03130590339892665,0.050143266475644696
Demo Taxable (Joint),XOM,Exxon Mobil Corp,Equity,220,21000,25000,0.022361359570661897,0.03581661891117478
Demo Taxable (Joint),VNQ,Vanguard Real Estate ETF,ETF,400,35000,36000,0.03220035778175313,0.05157593123209169
Demo Taxable (Joint),GLD,SPDR Gold Shares,ETF,150,26000,29000,0.0259391771019678,0.04154727793696275
Demo IRA,SPY,SPDR S&P 500 ETF Trust,ETF,250,90000,112000,0.1001788908765653,0.16045845272206305
Demo IRA,AGG,iShares Core US Aggregate Bond ETF,ETF,500,51000,49000,0.04382826475849732,0.07020057306590258
Demo IRA,VTV,Vanguard Value ETF,ETF,300,39000,43000,0.038461538461538464,0.06160458452722063
Demo IRA,VUG,Vanguard Growth ETF,ETF,200,51000,58000,0.0518783542039356,0.0830945558739255
Demo IRA,KO,Coca-Cola Co,Equity,400,22000,26000,0.023255813953488372,0.03724928366762178
Demo IRA,PEP,PepsiCo Inc,Equity,150,21000,24000,0.02146690518783542,0.034383954154727794
Demo IRA,UNH,UnitedHealth Group Inc,Equity,60,28000,31000,0.027728085867620753,0.044412607449856735
Demo IRA,VFISX,Vanguard Short-Term Treasury Fund,Fund,3000,32000,31000,0.027728085867620753,0.044412607449856735
