Macro_Factor,FF_Factor,Beta,T_Stat,R2
US_Growth_Factor,Mkt-RF,0.2550080994395294,0.530364306340183,0.005817881409240333
US_Growth_Factor,SMB,0.046825691312587986,0.5296945973241178,0.0005620900232253812
US_Growth_Factor,HML,0.18601653266964138,1.0951330922558409,0.0059464003707346835
US_Growth_Factor,RMW,-0.12129484496640727,-1.8513702435687247,0.0064808572534862385
US_Growth_Factor,CMA,0.062398015628786135,0.9896111933447581,0.0017766976066191376
Global_Growth_Factor,Mkt-RF,0.31986727019477984,1.0367212766931668,0.00588343335693331
Global_Growth_Factor,SMB,-0.08334044535616139,-0.507703093269349,0.0011444147064226806
Global_Growth_Factor,HML,-0.38655181101960256,-1.4362981263639556,0.01650444013343033
Global_Growth_Factor,RMW,-0.14566438578829877,-1.1638430916839464,0.0060074317740731464
Global_Growth_Factor,CMA,-0.03918343848308093,-0.3098893477489988,0.00045030976380266985
Inflation_Factor,Mkt-RF,0.012868779760659109,0.038417653801491626,1.4109355565228299e-05
Inflation_Factor,SMB,-0.0923850343888307,-0.7986153066675481,0.0020836091546809765
Inflation_Factor,HML,0.38660160583406866,2.20740934935559,0.024459855686807308
Inflation_Factor,RMW,0.09293140075728736,0.6736001860068176,0.0036228325499844116
Inflation_Factor,CMA,0.0837592627049577,0.576741586863005,0.0030486893795262926
Rates_Yields_Factor,Mkt-RF,-0.14650892128733295,-1.0469445356801383,0.004139447679758712
Rates_Yields_Factor,SMB,-0.020006613711337468,-0.19353027256737262,0.00022117803519450252
Rates_Yields_Factor,HML,0.13511633439971418,0.9522367625614208,0.006762762054290494
Rates_Yields_Factor,RMW,-0.029969756104819938,-0.360898569717107,0.0008528477862579376
Rates_Yields_Factor,CMA,0.0018272071639289372,0.02881415081238405,3.28401309079851e-06
US_Monetary_Policy_Factor,Mkt-RF,-0.1845246745683198,-0.347853872507929,0.002616881146646932
US_Monetary_Policy_Factor,SMB,0.057807138597844046,0.39303885703507907,0.0007358996789452732
US_Monetary_Policy_Factor,HML,-0.16670470903219953,-0.5982286083777406,0.0041026548266619445
US_Monetary_Policy_Factor,RMW,0.13431396862506587,1.3844086382974905,0.006826660704022602
US_Monetary_Policy_Factor,CMA,0.07365238744093242,0.6795080891715682,0.0021264922541095466
Global_Monetary_Policy_Factor,Mkt-RF,-0.48822861079147695,-1.8157374715293002,0.0202388656351411
Global_Monetary_Policy_Factor,SMB,0.03202655664121584,0.26353641971481606,0.00024954034795721114
Global_Monetary_Policy_Factor,HML,-0.08132056733532707,-0.5159475528040444,0.0010785360264227162
Global_Monetary_Policy_Factor,RMW,0.1340031811974141,1.4483157127761408,0.007506902670201709
Global_Monetary_Policy_Factor,CMA,-0.0781623720072182,-0.8695999839396883,0.002645758627445538
Currency_Factor,Mkt-RF,-1.5356784767294176,-9.24791599885352,0.35117330965437676
Currency_Factor,SMB,-0.22510615808320053,-2.1186246729177225,0.021621022230095654
Currency_Factor,HML,-0.2670550101657905,-1.7988833363627728,0.020399358368276665
Currency_Factor,RMW,0.09538292318643372,1.1544866581226962,0.006670417463704448
Currency_Factor,CMA,0.028301876863815394,0.4493786629748066,0.0006083680875826891
Credit_Risk_Factor,Mkt-RF,-1.1449395638891553,-2.9317158987881404,0.10756969401589489
Credit_Risk_Factor,SMB,-0.02207870445698057,-0.15540872264078168,0.0001146179259718938
Credit_Risk_Factor,HML,-0.3644970585737326,-1.5979141474372414,0.02094146234075156
Credit_Risk_Factor,RMW,0.19889922075565084,1.7227613394449606,0.015983865771657335
Credit_Risk_Factor,CMA,0.12207082918183984,1.3252447303526276,0.006236826195131884
Commodities_Factor,Mkt-RF,1.460310477385179,4.269408191800455,0.1345002903830158
Commodities_Factor,SMB,0.4088933668562237,2.403779569232454,0.030215759580382584
Commodities_Factor,HML,0.705702646026483,2.9838887660802764,0.060335157795656014
Commodities_Factor,RMW,-0.12178925341423023,-0.9107471102182263,0.004606187463098266
Commodities_Factor,CMA,0.043983393474657045,0.34063374407215147,0.0006223365840981598
